[auto] roadmap=1000 candidates(filter=all)=594 already_done=204 todo=390 workers=10
[44/390] ok=True T2-BB-15-1.75-long-SOL-2024-H2 sh=2.6323 tr=88 elapsed=4.4s wall_avg=0s eta=0min pass=14
[45/390] ok=True T2-BB-15-1.75-short-BTC-2024-H2 sh=1.9135 tr=33 elapsed=4.2s wall_avg=0s eta=0min pass=15
[46/390] ok=True T2-BB-15-1.75-short-BTC-2025-H1 sh=-0.305 tr=31 elapsed=4.2s wall_avg=0s eta=0min pass=15
[47/390] ok=True T2-BB-15-1.75-long-SOL-2025-H2 sh=-0.9238 tr=77 elapsed=4.4s wall_avg=0s eta=0min pass=15
[48/390] ok=True T2-BB-15-1.75-short-BTC-2025-H2 sh=-0.069 tr=42 elapsed=4.2s wall_avg=0s eta=0min pass=15
[49/390] ok=True T2-BB-15-1.75-short-ETH-2024-H2 sh=1.5732 tr=57 elapsed=4.3s wall_avg=0s eta=0min pass=16
[50/390] ok=True T2-BB-15-1.75-short-ETH-2025-H1 sh=-1.9431 tr=67 elapsed=4.3s wall_avg=0s eta=0min pass=16
[51/390] ok=True T2-BB-15-1.75-short-ETH-2025-H2 sh=1.7641 tr=70 elapsed=4.0s wall_avg=0s eta=0min pass=17
[52/390] ok=True T2-BB-15-1.75-short-SOL-2024-H2 sh=2.6323 tr=88 elapsed=4.1s wall_avg=0s eta=0min pass=18
[53/390] ok=True T2-BB-15-1.75-short-SOL-2025-H1 sh=-2.0342 tr=72 elapsed=4.1s wall_avg=0s eta=0min pass=18
[54/390] ok=True T2-BB-15-2.0-long-ETH-2024-H2 sh=2.0662 tr=48 elapsed=4.1s wall_avg=0s eta=0min pass=19
[55/390] ok=True T2-BB-15-1.75-short-SOL-2025-H2 sh=-0.9238 tr=77 elapsed=4.4s wall_avg=0s eta=0min pass=19
[56/390] ok=True T2-BB-15-2.0-long-BTC-2025-H1 sh=0.8478 tr=26 elapsed=4.3s wall_avg=0s eta=0min pass=19
[57/390] ok=True T2-BB-15-2.0-long-BTC-2024-H2 sh=2.1373 tr=25 elapsed=4.5s wall_avg=0s eta=0min pass=19
[58/390] ok=True T2-BB-15-2.0-long-ETH-2025-H1 sh=-0.7048 tr=60 elapsed=4.3s wall_avg=0s eta=0min pass=19
[59/390] ok=True T2-BB-15-2.0-long-BTC-2025-H2 sh=-0.6553 tr=33 elapsed=4.4s wall_avg=0s eta=0min pass=19
[60/390] ok=True T2-BB-15-2.0-long-ETH-2025-H2 sh=1.2028 tr=62 elapsed=4.2s wall_avg=0s eta=0min pass=19
