t,ts_signal,ts_exec_next_open,signal,regime_active,close_tm1,close_tm2,mu_now,sigma_now,mu_prev,sigma_prev,lower_now,lower_prev
329,2025-01-18 17:00:00+00:00,2025-01-18 18:00:00+00:00,ENTER_LONG,True,3253.89,3307.07,3379.216666666667,77.50374504213042,3385.002666666667,74.34652912469343,3262.9610491034714,3273.4828729796272
338,2025-01-19 02:00:00+00:00,2025-01-19 03:00:00+00:00,EXIT,True,3353.3,3316.3,3340.2950000000005,81.15885339875129,3342.9220000000005,82.7962589493028,3218.5567199018737,3218.7276115760465
345,2025-01-19 09:00:00+00:00,2025-01-19 10:00:00+00:00,ENTER_LONG,True,3221.9,3276.06,3297.498,34.76547918074291,3305.146666666667,41.818078493504366,3245.3497812288856,3242.4195489264102
351,2025-01-19 15:00:00+00:00,2025-01-19 16:00:00+00:00,EXIT,True,3381.16,3276.99,3280.051333333334,49.11345082108931,3277.1196666666665,45.481234040963436,3206.3811571017,3208.8978156052212
361,2025-01-20 01:00:00+00:00,2025-01-20 02:00:00+00:00,ENTER_LONG,True,3170.9,3215.12,3296.9643333333324,78.09229252123555,3300.093666666666,74.78904061796457,3179.825894551479,3187.9101057397193
367,2025-01-20 07:00:00+00:00,2025-01-20 08:00:00+00:00,EXIT,True,3416.01,3291.33,3295.667,83.27470885168756,3292.343333333333,80.34346981691927,3170.7549367224688,3171.8281286079537
374,2025-01-20 14:00:00+00:00,2025-01-20 15:00:00+00:00,EXIT,True,3342.99,3304.02,3306.6596666666665,87.38233923333071,3304.4286666666662,87.28064351020535,3175.5861578166705,3173.507701401358
380,2025-01-20 20:00:00+00:00,2025-01-20 21:00:00+00:00,EXIT,True,3343.5,3330.53,3332.8853333333327,71.38512738347919,3330.668333333333,72.05073601675107,3225.807642258114,3222.5922293082062
397,2025-01-21 13:00:00+00:00,2025-01-21 14:00:00+00:00,EXIT,True,3307.19,3305.07,3305.9326666666675,48.8660345525283,3309.5600000000004,52.71223513884926,3232.633614837875,3230.4916472917266
401,2025-01-21 17:00:00+00:00,2025-01-21 18:00:00+00:00,EXIT,True,3313.85,3295.1,3296.452666666667,40.9970089911718,3297.771666666667,42.155687404614284,3234.9571531799093,3234.5381355597456
419,2025-01-22 11:00:00+00:00,2025-01-22 12:00:00+00:00,EXIT,True,3308.09,3298.55,3307.7256666666667,31.830817528859626,3305.6943333333334,33.636050866427375,3259.979440373377,3255.240257033692
424,2025-01-22 16:00:00+00:00,2025-01-22 17:00:00+00:00,ENTER_LONG,False,3278.39,3293.97,3315.9726666666666,20.501723819122038,3315.915,20.609503916073944,3285.2200809379833,3285.000744125889
